"EventCode","EVENTDESCRIPTION","Month","Year","Actor1Code","Actor2Code","EventBaseCode","EventRootCode","QuadClass","NumMentions","Actor1Geo_Type","Actor1Geo_CountryCode","Actor2Geo_CountryCode","ActionGeo_Type","Region","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID"
"130.0","Threaten, not specified below","7.0","2018.0","YEM","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Riyadh","22.4","46.2","-3091714"
"130.0","Threaten, not specified below","7.0","2018.0","YEM","SAU","130.0","13.0","3.0","2.0","4.0","YM","SA","4.0","Riyadh","22.4","46.2","-3091714"
"130.0","Threaten, not specified below","7.0","2018.0","YEMMED","IGOUNO","130.0","13.0","3.0","6.0","4.0","YM","YM","4.0","Riyadh","22.4","46.2","-3091714"
"130.0","Threaten, not specified below","7.0","2018.0","1","GOV","130.0","13.0","3.0","5.0","0.0","1","SA","4.0","Ash Sharqiyah","26.3","50.2","-3092086"
"130.0","Threaten, not specified below","4.0","2018.0","REB","MIL","130.0","13.0","3.0","3.0","4.0","SA","SA","4.0","Madinah","24.5","39.6","-3092186"
"130.0","Threaten, not specified below","6.0","2018.0","MYS","1","130.0","13.0","3.0","2.0","4.0","SA","1","4.0","Makkah","21.7","39.9","-3092307"
"130.0","Threaten, not specified below","6.0","2018.0","SAU","MOSSHI","130.0","13.0","3.0","1.0","4.0","SA","MY","4.0","Makkah","21.7","39.9","-3092307"
"130.0","Threaten, not specified below","6.0","2018.0","SAU","MOSSHI","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Makkah","21.7","39.9","-3092307"
"130.0","Threaten, not specified below","5.0","2018.0","MYS","MOSSHI","130.0","13.0","3.0","1.0","4.0","MY","AE","4.0","Makkah","21.7","39.9","-3092307"
"130.0","Threaten, not specified below","5.0","2018.0","MYS","MOSSHI","130.0","13.0","3.0","1.0","4.0","SA","SA","4.0","Makkah","21.7","39.9","-3092307"
"130.0","Threaten, not specified below","5.0","2018.0","1","OMN","130.0","13.0","3.0","4.0","0.0","1","MU","4.0","Riyadh","24.5","46.4","-3092669"
"130.0","Threaten, not specified below","5.0","2018.0","OMN","1","130.0","13.0","3.0","1.0","4.0","SA","1","4.0","Riyadh","24.5","46.4","-3092669"
